Order_ID,Order_Date,Segment,Region,City,Category,Sub_Category,Quantity,Sales,Discount,Profit,Shipping_Days
ORD-10541,2023-03-13,Consumer,North,Chandigarh,Furniture,Tables,2.0,170.51,0.1,11.81,7
ORD-10259,2023-02-02,Home Office,North,Lucknow,Office Supplies,Art,7.0,1096.25,0.1,53.69,4
ORD-10043,2023-09-21,Corporate,North,Chandigarh,Office Supplies,Art,1.0,60.54,0.2,3.29,1
ORD-11008,2023-06-15,Consumer,West,Ahmedabad,Furniture,Tables,2.0,601.12,0.15,25.95,7
ORD-10584,2023-08-14,Home Office,South,Bengaluru,Office Supplies,Binders,7.0,1060.62,0.0,188.88,5
ORD-10310,2024-12-09,Corporate,East,Kolkata,Technology,Machines,1.0,226.28,0.15,27.8,3
ORD-10657,2024-10-19,Corporate,East,Bhubaneswar,Technology,Machines,4.0,1254.55,0.0,228.92,6
ORD-10044,2024-07-06,Home Office,North,Chandigarh,Technology,Phones,7.0,4755.75,0.3,365.57,1
ORD-10210,2024-02-12,Consumer,East,Kolkata,Office Supplies,Storage,1.0,249.51,0.0,38.42,2
ORD-10155,2024-10-18,Corporate,South,Hyderabad,Office Supplies,Binders,4.0,487.12,0.0,100.33,1
ORD-10558,2025-04-17,Corporate,North,Delhi,Technology,Accessories,1.0,392.32,0.0,66.97,3
ORD-10411,2024-12-06,Corporate,South,Chennai,Office Supplies,Paper,4.0,395.49,0.15,29.89,2
ORD-11007,2023-04-06,Home Office,West,Pune,Office Supplies,Binders,3.0,443.83,0.0,79.86,5
ORD-10493,2024-03-11,Home Office,East,Guwahati,Office Supplies,Paper,4.0,661.43,0.1,76.52,4
ORD-11067,2024-02-27,Home Office,East,Guwahati,Technology,Phones,5.0,1960.66,,379.37,7
ORD-10522,2025-03-06,Consumer,West,Surat,Furniture,Chairs,6.0,2526.98,0.1,127.8,1
ORD-10543,2025-06-05,Corporate,East,Bhubaneswar,Office Supplies,Art,1.0,44.83,0.0,7.6,5
ORD-10551,2024-06-19,Home Office,North,Chandigarh,Technology,Machines,7.0,2876.25,0.05,465.14,5
ORD-10428,2024-08-15,Consumer,North,Jaipur,Furniture,Chairs,4.0,1533.11,0.1,109.19,1
ORD-10422,2024-10-19,Consumer,West,Surat,Technology,Accessories,3.0,713.13,0.05,119.97,4
ORD-10739,2023-05-21,Corporate,West,Pune,Office Supplies,Binders,6.0,301.42,0.05,46.85,3
ORD-10458,2024-05-09,Home Office,East,Patna,Technology,Machines,7.0,4969.52,0.2,607.49,4
ORD-11148,2024-12-20,Corporate,West,Ahmedabad,Technology,Accessories,6.0,4053.38,0.1,569.62,7
ORD-10423,2025-01-10,Consumer,East,Kolkata,Office Supplies,Storage,4.0,911.95,0.1,83.7,3
ORD-10298,2023-09-04,Home Office,South,Bengaluru,Office Supplies,Storage,4.0,342.75,0.2,6.89,6
ORD-11029,2023-06-11,Home Office,North,Delhi,Office Supplies,Art,1.0,68.37,0.1,11.05,6
ORD-10350,2023-01-24,Home Office,North,Lucknow,Technology,Machines,6.0,1607.01,0.1,219.68,7
ORD-10652,2024-11-14,Corporate,North,Jaipur,Technology,Machines,4.0,1619.49,0.05,308.5,3
ORD-10820,2023-05-02,Consumer,South,Hyderabad,Technology,Machines,7.0,4177.68,0.05,519.05,3
ORD-10855,2023-05-07,Home Office,South,Kochi,Technology,Accessories,3.0,1105.21,0.15,138.26,1
ORD-10533,2023-11-25,Consumer,North,Chandigarh,Furniture,Tables,2.0,605.03,0.0,82.08,7
ORD-10107,2024-11-01,Home Office,West,Pune,Office Supplies,Paper,8.0,1153.13,0.05,199.96,3
ORD-10439,2024-08-17,Consumer,East,Guwahati,Office Supplies,Binders,6.0,258.0,0.1,27.64,1
ORD-10884,2023-11-01,Consumer,East,Bhubaneswar,Office Supplies,Art,2.0,60.61,0.3,-4.02,3
ORD-10900,2024-07-26,Home Office,West,Mumbai,Office Supplies,Storage,3.0,773.85,0.1,76.04,5
ORD-10078,2024-01-29,Home Office,South,Chennai,Furniture,Tables,4.0,2467.4,0.05,83.97,7
ORD-11090,2024-09-13,Consumer,West,Ahmedabad,Technology,Accessories,4.0,1999.93,0.2,68.04,6
ORD-10715,2024-06-18,Consumer,West,Mumbai,Technology,Accessories,3.0,944.96,0.15,116.58,1
ORD-10076,2024-02-20,Home Office,North,Delhi,Technology,Phones,8.0,3799.18,0.0,754.43,7
ORD-10770,2025-04-02,Corporate,South,Chennai,Furniture,Tables,8.0,3755.71,0.0,411.62,5
ORD-10044,2024-07-06,Home Office,North,Chandigarh,Technology,Phones,7.0,4755.75,0.3,365.57,1
ORD-11108,2023-07-15,Corporate,East,Kolkata,Office Supplies,Storage,2.0,400.07,0.2,-0.02,7
ORD-10864,2025-05-15,Home Office,West,Surat,Technology,Machines,1.0,567.69,0.05,70.64,1
ORD-10113,2023-01-20,Home Office,South,Kochi,Office Supplies,Art,3.0,231.31,0.4,-30.99,6
ORD-10849,2024-11-05,Consumer,East,Kolkata,Technology,Accessories,7.0,5369.13,0.1,632.83,2
ORD-10265,2023-08-21,Corporate,East,Patna,Furniture,Bookcases,6.0,3458.42,0.3,-504.89,5
ORD-10415,2023-05-01,Home Office,South,Hyderabad,Furniture,Tables,8.0,5657.87,0.0,524.41,1
ORD-10494,2023-05-03,Consumer,West,Ahmedabad,Furniture,Tables,3.0,657.06,0.1,57.32,4
ORD-10644,2023-08-14,Home Office,South,Bengaluru,Furniture,Chairs,7.0,4269.86,0.0,355.48,6
ORD-10371,2023-07-30,Consumer,North,Lucknow,Furniture,Chairs,2.0,1113.16,0.05,101.93,7
ORD-10745,2025-02-15,Consumer,South,Kochi,Furniture,Chairs,,538.34,0.1,21.68,2
ORD-10240,2025-03-20,Corporate,South,Hyderabad,Technology,Phones,4.0,2572.04,0.05,354.71,2
ORD-10192,2024-03-03,Corporate,East,Kolkata,Furniture,Bookcases,5.0,3328.94,0.0,261.46,5
ORD-10707,2023-05-03,Corporate,West,Pune,Technology,Accessories,8.0,758.15,0.2,91.46,1
ORD-10594,2024-01-17,Home Office,North,Lucknow,Office Supplies,Binders,6.0,82.87,0.0,15.35,5
ORD-10585,2024-03-03,Home Office,East,Patna,Office Supplies,Art,3.0,139.97,0.15,7.08,3
ORD-10297,2023-07-04,Home Office,East,Guwahati,Furniture,Chairs,2.0,1242.27,0.05,133.82,5
ORD-10319,2024-09-05,Home Office,West,Pune,Office Supplies,Storage,5.0,50.68,0.15,3.3,4
ORD-10590,2024-08-08,Consumer,East,Kolkata,Furniture,Tables,5.0,1933.68,0.15,33.3,5
ORD-10081,2023-08-15,Home Office,West,Ahmedabad,Technology,Phones,7.0,3697.53,0.2,154.73,4
ORD-10527,2024-12-20,Corporate,East,Bhubaneswar,Furniture,Tables,8.0,5324.16,0.15,357.01,3
ORD-10768,2025-03-03,Corporate,South,Chennai,Technology,Phones,7.0,6056.38,0.1,1064.88,7
ORD-10049,2024-12-17,Corporate,East,Bhubaneswar,Furniture,Bookcases,4.0,485.35,0.05,34.1,5
ORD-10497,2024-06-20,Consumer,South,Bengaluru,Technology,Machines,8.0,5835.19,0.0,1176.88,2
ORD-10677,2024-11-03,Corporate,East,Kolkata,Office Supplies,Binders,3.0,234.3,0.05,24.72,6
ORD-10409,2024-01-27,Consumer,East,Patna,Furniture,Bookcases,8.0,3447.66,0.1,274.93,6
ORD-10901,2024-06-17,Corporate,South,Chennai,Office Supplies,Binders,2.0,287.88,0.15,43.32,1
ORD-10342,2023-04-03,Consumer,East,,Office Supplies,Binders,1.0,85.75,0.0,12.47,1
ORD-11119,2023-11-08,Home Office,North,Jaipur,Furniture,Bookcases,3.0,1638.15,0.1,86.12,7
ORD-10911,2023-06-21,Consumer,West,Pune,Technology,Accessories,2.0,1468.33,0.15,181.32,5
ORD-10361,2023-02-12,Consumer,North,Chandigarh,Furniture,Bookcases,3.0,680.76,0.15,9.16,3
ORD-10058,2024-03-23,Home Office,East,Patna,Technology,Phones,2.0,1119.51,0.0,200.78,4
ORD-10070,2024-06-08,Consumer,West,Pune,Technology,Accessories,1.0,952.13,0.15,94.45,3
ORD-10907,2023-07-19,Consumer,North,Delhi,Furniture,Tables,3.0,943.76,0.0,133.32,3
ORD-10023,2025-02-05,Consumer,South,Hyderabad,Office Supplies,Paper,8.0,710.26,0.0,123.88,1
ORD-10101,2025-03-08,Consumer,North,Lucknow,Office Supplies,Binders,4.0,858.68,0.15,75.43,1
ORD-10962,2024-01-07,Consumer,North,Lucknow,Technology,Phones,2.0,769.73,0.15,91.88,7
ORD-10058,2024-03-23,Home Office,East,Patna,Technology,Phones,2.0,1119.51,0.0,200.78,4
ORD-10829,2024-10-02,Corporate,North,Chandigarh,Furniture,Bookcases,6.0,2270.25,0.4,-279.02,7
